Date,FVX,GSPC,AMD,AMZN,GOOGL,MSFT,WMT
10/1/08,2.821,968.75,3.5,57.240002,179.859863,17.384617,43.533268
11/1/08,1.944,896.23999,2.36,42.700001,146.626633,15.74192,43.58786
12/1/08,1.551,903.25,2.16,51.279999,153.978973,15.237188,43.728271
1/1/09,1.873,825.880005,2.19,58.82,169.434433,13.403088,36.913517
2/1/09,2.02,735.090027,2.18,64.790001,169.164169,12.658468,38.574318
3/1/09,1.675,797.869995,3.05,73.440002,174.204208,14.497245,40.814816
4/1/09,2.017,872.809998,3.61,80.519997,198.183182,15.988795,39.705341
5/1/09,2.347,919.140015,4.54,77.989998,208.823822,16.485971,39.185398
6/1/09,2.558,919.320007,3.87,83.660004,211.006012,18.877947,38.366657
7/1/09,2.533,987.47998,3.66,85.760002,221.74675,18.679399,39.507198
8/1/09,2.39,1020.619995,4.36,81.190002,231.066071,19.576838,40.291321
9/1/09,2.318,1057.079956,5.66,93.360001,248.173172,20.541473,39.094379
10/1/09,2.322,1036.189941,4.6,118.809998,268.328339,22.146774,39.564243
11/1/09,2.006,1095.630005,7.01,135.910004,291.791779,23.488531,43.442612
12/1/09,2.686,1115.099976,9.68,134.520004,310.300293,24.450689,42.566597
1/1/10,2.348,1073.869995,7.46,125.410004,265.235229,22.605659,42.764851
2/1/10,2.284,1104.48999,7.91,118.400002,263.663666,22.998732,43.277103
3/1/10,2.56,1169.430054,9.27,135.770004,283.843842,23.605959,44.501701
4/1/10,2.42,1186.689941,9.07,137.100006,263.113098,24.613388,43.174526
5/1/10,2.097,1089.410034,8.57,125.459999,243.05806,20.793236,40.695446
6/1/10,1.795,1030.709961,7.32,109.260002,222.697693,18.628342,38.915661
7/1/10,1.598,1101.599976,7.49,117.889999,242.667664,20.895153,41.441479
8/1/10,1.342,1049.329956,5.61,124.830002,225.235229,19.000751,40.59145
9/1/10,1.281,1141.199951,7.11,157.059998,263.158173,19.93228,43.580219
10/1/10,1.179,1183.26001,7.34,165.229996,307.157166,21.706566,44.109505
11/1/10,1.464,1180.550049,7.29,175.399994,278.133148,20.558977,44.044365
12/1/10,2.016,1257.640015,8.18,180,297.282288,22.855371,43.914082
1/1/11,1.952,1286.119995,7.83,169.639999,300.480469,22.707973,45.90873
2/1/11,2.137,1327.219971,9.21,173.289993,307.007019,21.766243,42.559937
3/1/11,2.225,1325.829956,8.6,180.130005,293.673676,20.914648,42.617245
4/1/11,1.975,1363.609985,9.1,195.809998,272.322327,21.351227,45.331787
5/1/11,1.688,1345.199951,8.68,196.690002,264.77478,20.601627,45.529671
6/1/11,1.754,1320.640015,6.99,204.490005,253.443451,21.55751,44.104572
